h,ошибка (обычная),отнош. обычной,ошибка (Ричардсон),отнош. Ричардсона
0.04,0.03184879360232706,,3.3318865433784595e-05,
0.02,0.015941056233880424,1.9979098709053562,8.32057789335039e-06,4.0043931876909955
0.01,0.007974688405886887,1.9989566265827756,2.0789888077743512e-06,4.002223514737404
0.005,0.003988383697347331,1.9994787390167208,5.19601909942935e-07,4.001118487040733
0.0025,0.001994451649628637,1.9997394763066632,1.2988224451504493e-07,4.000561523116786
0.00125,0.000997290765936576,1.999869764918165,3.2468494559623196e-08,4.0002545937735725
