h,ошибка (обычная),отнош. обычной,ошибка (Ричардсон),отнош. Ричардсона
0.2,0.0802721636737288,,0.0020047281982534804,
0.1,0.04113844593599114,1.951268742592447,0.000476143068639745,4.210348381171709
0.05,0.020807294502315443,1.9771165314843426,0.00011582501251350408,4.110882945807852
0.025,0.010461559757414474,1.9889285139884219,2.855006998059295e-05,4.0569081824400675
0.0125,0.005245054913697533,1.9945567643331943,7.086449060000888e-06,4.028825966130542
0.00625,0.002626070681378767,1.997301501018137,1.765210490223268e-06,4.0145065414292755
