x,f(x),D^0,D^0.5,D^1,D^1.5,D^2
1.0,1.0,1.0,1.7941581110463278,2.9700999999999977,4.462856169170063,5.939999999999834
1.5,3.375,3.375,4.95442926857352,6.705100000000019,8.229765759575708,8.940000000006165
2.0,8.0,8.0,10.181056844915744,11.940099999999987,12.69442571450081,11.939999999999173
2.5,15.625,15.625,17.7966937957667,18.675099999999567,17.76102922168388,14.939999999903364
3.0,27.0,27.0,28.084933444217672,26.91009999999956,23.36503934024877,17.939999999896372
3.5,42.875,42.875,41.30186161775665,36.645099999999076,29.45912476353367,20.939999999853853
4.0,64.0,64.0,57.6828135323926,47.880099999999004,36.006637428869226,23.939999999811334
