h,N=x/h,ГЛ,точная,ошибка,ошибка(h)/ошибка(h/2)
0.04,50,4.223535530679622,4.255384324281949,0.03184879360232706,
0.02,100,4.239443268048069,4.255384324281949,0.015941056233880424,1.9979098709053562
0.01,200,4.247409635876062,4.255384324281949,0.007974688405886887,1.9989566265827756
0.005,400,4.251395940584602,4.255384324281949,0.003988383697347331,1.9994787390167208
0.0025,800,4.2533898726323205,4.255384324281949,0.001994451649628637,1.9997394763066632
0.00125,1600,4.2543870335160126,4.255384324281949,0.000997290765936576,1.999869764918165
