h,ошибка ГЛ (p=0),отнош. ГЛ,ошибка сдвиг (p=1),отнош. сдвиг
0.04,0.03184879360232706,,0.09613070011625346,
0.02,0.015941056233880424,1.9979098709053562,0.04796934791977403,2.0040026451271866
0.01,0.007974688405886887,1.9989566265827756,0.023960622467109616,2.002007584970751
0.005,0.003988383697347331,1.9994787390167208,0.011974291961347916,2.0010053658665283
0.0025,0.001994451649628637,1.9997394763066632,0.005985640360909095,2.00050307725626
