N,L=N*h,макс. ошибка,оценка наклона
5,0.05,1.8498873301696697,
20,0.2,0.719373066701843,0.6813126765086256
50,0.5,0.33590139455689955,0.8311362509729182
100,1.0,0.17013764065111137,0.9813354321286302
300,3.0,0.04402291221561139,1.2305501619960408
500,5.0,0.025277993252554642,1.0860380126821911
1000,10.0,0.008198127988621073,1.6245155181171667
2000,20.0,0.0033953595970943606,1.2717301373244472
