x,f(x),D^0,D^0.5,D^1,D^1.5,D^2
1.0,1.0,1.0,1.4988695416462239,1.9900000000000029,2.2482759966511234,1.9999999999997797
1.5,2.25,2.25,2.75704811370017,2.9900000000000038,2.7570327198833833,2.0000000000042206
2.0,4.0,4.0,4.247409635876062,3.9899999999999824,3.1855472346015192,1.9999999999953388
2.5,6.25,6.25,5.93816348463261,4.989999999999917,3.5628909435540956,1.9999999999953388
3.0,9.0,9.0,7.807871534128139,5.989999999999895,3.903930331349663,1.9999999999953388
3.5,12.25,12.25,9.840800694604058,6.989999999999874,4.217481699191063,1.9999999999598117
4.0,16.0,16.0,12.02476359638533,7.989999999999853,4.509282819149973,1.9999999999953388
4.5,20.25,20.25,14.349956596933044,8.989999999999654,4.783315908048603,1.9999999999953388
5.0,25.0,25.0,16.808270446180995,9.98999999999981,5.042478608838131,1.9999999999953388
