h,N,L=N*h,макс. ошибка,сред. ошибка
0.1,500,50.0,0.04998611167029261,0.033534516743163635
0.05,500,25.0,0.02499640443428658,0.016740400942992617
0.02,500,10.0,0.009999864747405385,0.006688450396662288
0.01,500,5.0,0.00499998288516662,0.0033428286030050642
0.005,500,2.5,0.0024999982247679003,0.0016710875228177174
0.001,500,0.5,0.0004999996517688606,0.00033416563233596645
