N,L=N*h,макс. ошибка,сред. ошибка
5,0.05,1.8498873301696697,1.174719020601235
20,0.2,0.719373066701843,0.45796568638413127
50,0.5,0.33590139455689955,0.2143374107492023
100,1.0,0.17013764065111137,0.10858382161563891
300,3.0,0.04402291221561139,0.028079182375272547
500,5.0,0.025277993252554642,0.016024874624839397
1000,10.0,0.008198127988621073,0.005223653431747739
